$ : make memory_allocation ; ./memory_allocation
cc     memory_allocation.c   -o memory_allocation
***** MALLOC *****
 Buffer size  allocation time  freeing time
           2   0.000000326      0.000000249
           4   0.000000100      0.000000105
           8   0.000000040      0.000000048
          16   0.000000081      0.000000523
          32   0.000000153      0.000000028
          64   0.000000069      0.000000035
         128   0.000000088      0.000000048
         256   0.000000050      0.000000039
         512   0.000000080      0.000000046
        1024   0.000000093      0.000000045
        2048   0.000001897      0.000000303
        4096   0.000000089      0.000000113
        8192   0.000001507      0.000000057
       16384   0.000001406      0.000000063
       32768   0.000001385      0.000000050
       65536   0.000001389      0.000000051
      131072   0.000001326      0.000000051
      262144   0.000004093      0.000004007
      524288   0.000002697      0.000001904
     1048576   0.000002718      0.000001627
     2097152   0.000003068      0.000003205
     4194304   0.000003404      0.000002368
     8388608   0.000003505      0.000002173
    16777216   0.000003160      0.000002474
    33554432   0.000002408      0.000002147
    67108864   0.000002228      0.000002077
   134217728   0.000002091      0.000002308
   268435456   0.000002063      0.000002794
   536870912   0.000002192      0.000003924
  1073741824   0.000003080      0.000007004
  2147483648   0.000002650      0.000005979
  4294967296   0.000003075      0.000006648
  8589934592   0.000003187      0.000006481
 17179869184   0.000002517      0.000006164

***** CALLOC *****
 Buffer size  allocation time  freeing time
           2   0.000000260      0.000000112
           4   0.000000118      0.000000061
           8   0.000000080      0.000000056
          16   0.000000102      0.000000042
          32   0.000000119      0.000000054
          64   0.000000118      0.000000072
         128   0.000000263      0.000000044
         256   0.000000182      0.000000050
         512   0.000000170      0.000000039
        1024   0.000000141      0.000000041
        2048   0.000000220      0.000000120
        4096   0.000000146      0.000000047
        8192   0.000001737      0.000000033
       16384   0.000001573      0.000000055
       32768   0.000005042      0.000000077
       65536   0.000010316      0.000000057
      131072   0.000025261      0.000000102
      262144   0.000049459      0.000000071
      524288   0.000012033      0.000000086
     1048576   0.000128656      0.000000069
     2097152   0.000190088      0.000000143
     4194304   0.000352012      0.000000204
     8388608   0.000719581      0.000000171
    16777216   0.001499812      0.000000365
    33554432   0.000010200      0.000006925
    67108864   0.000003424      0.000002540
   134217728   0.000003061      0.000002678
   268435456   0.000002901      0.000003155
   536870912   0.000003419      0.000004064
  1073741824   0.000003765      0.000006430
  2147483648   0.000003489      0.000006166
  4294967296   0.000003403      0.000008206
  8589934592   0.000003454      0.000006866
 17179869184   0.000002626      0.000006197

***** ALLOCA *****
 Buffer size  allocation time  freeing time
           2   0.000000129      0.000000048
           4   0.000000070      0.000000042
           8   0.000000049      0.000000027
          16   0.000000042      0.000000027
          32   0.000000040      0.000000029
          64   0.000000039      0.000000023
         128   0.000000035      0.000000020
         256   0.000000039      0.000000025
         512   0.000000040      0.000000029
        1024   0.000000041      0.000000028
        2048   0.000000042      0.000000029
        4096   0.000000076      0.000000025
        8192   0.000001976      0.000000028
       16384   0.000002386      0.000000019
       32768   0.000004320      0.000000022
       65536   0.000010014      0.000000021
      131072   0.000026076      0.000000029
      262144   0.000039281      0.000000022
      524288   0.000091670      0.000000031
     1048576   0.000138705      0.000000021
     2097152   0.000290637      0.000000029
 
