../bin/test_mem
malloc: It took  0 s, 0 ms,  0 µs, 675 ns,  size 1
calloc: It took  0 s, 0 ms,  0 µs, 878 ns,  size 1
alloca: It took  0 s, 0 ms,  0 µs, 101 ns,  size 1
malloc: It took  0 s, 0 ms,  0 µs, 158 ns,  size 2
calloc: It took  0 s, 0 ms,  0 µs, 192 ns,  size 2
alloca: It took  0 s, 0 ms,  0 µs, 65 ns,  size 2
malloc: It took  0 s, 0 ms,  0 µs, 66 ns,  size 4
calloc: It took  0 s, 0 ms,  0 µs, 181 ns,  size 4
alloca: It took  0 s, 0 ms,  0 µs, 68 ns,  size 4
malloc: It took  0 s, 0 ms,  0 µs, 68 ns,  size 8
calloc: It took  0 s, 0 ms,  0 µs, 174 ns,  size 8
alloca: It took  0 s, 0 ms,  0 µs, 67 ns,  size 8
malloc: It took  0 s, 0 ms,  0 µs, 138 ns,  size 16
calloc: It took  0 s, 0 ms,  0 µs, 258 ns,  size 16
alloca: It took  0 s, 0 ms,  0 µs, 67 ns,  size 16
malloc: It took  0 s, 0 ms,  0 µs, 126 ns,  size 32
calloc: It took  0 s, 0 ms,  0 µs, 228 ns,  size 32
alloca: It took  0 s, 0 ms,  0 µs, 68 ns,  size 32
malloc: It took  0 s, 0 ms,  0 µs, 85 ns,  size 64
calloc: It took  0 s, 0 ms,  0 µs, 214 ns,  size 64
alloca: It took  0 s, 0 ms,  0 µs, 67 ns,  size 64
malloc: It took  0 s, 0 ms,  0 µs, 105 ns,  size 128
calloc: It took  0 s, 0 ms,  0 µs, 548 ns,  size 128
alloca: It took  0 s, 0 ms,  0 µs, 67 ns,  size 128
malloc: It took  0 s, 0 ms,  0 µs, 90 ns,  size 256
calloc: It took  0 s, 0 ms,  0 µs, 225 ns,  size 256
alloca: It took  0 s, 0 ms,  0 µs, 66 ns,  size 256
malloc: It took  0 s, 0 ms,  0 µs, 127 ns,  size 512
calloc: It took  0 s, 0 ms,  0 µs, 286 ns,  size 512
alloca: It took  0 s, 0 ms,  0 µs, 69 ns,  size 512
malloc: It took  0 s, 0 ms,  0 µs, 165 ns,  size 1024
calloc: It took  0 s, 0 ms,  3 µs, 3081 ns,  size 1024
alloca: It took  0 s, 0 ms,  0 µs, 69 ns,  size 1024
malloc: It took  0 s, 0 ms,  0 µs, 136 ns,  size 2048
calloc: It took  0 s, 0 ms,  0 µs, 286 ns,  size 2048
alloca: It took  0 s, 0 ms,  0 µs, 68 ns,  size 2048
malloc: It took  0 s, 0 ms,  2 µs, 2773 ns,  size 4096
calloc: It took  0 s, 0 ms,  0 µs, 346 ns,  size 4096
alloca: It took  0 s, 0 ms,  2 µs, 2853 ns,  size 4096
malloc: It took  0 s, 0 ms,  4 µs, 4773 ns,  size 8192
calloc: It took  0 s, 0 ms,  0 µs, 431 ns,  size 8192
alloca: It took  0 s, 0 ms,  2 µs, 2678 ns,  size 8192
malloc: It took  0 s, 0 ms,  2 µs, 2552 ns,  size 16384
calloc: It took  0 s, 0 ms,  3 µs, 3564 ns,  size 16384
alloca: It took  0 s, 0 ms,  2 µs, 2747 ns,  size 16384
malloc: It took  0 s, 0 ms,  2 µs, 2739 ns,  size 32768
calloc: It took  0 s, 0 ms,  10 µs, 10208 ns,  size 32768
alloca: It took  0 s, 0 ms,  2 µs, 2680 ns,  size 32768
malloc: It took  0 s, 0 ms,  6 µs, 6609 ns,  size 65536
calloc: It took  0 s, 0 ms,  22 µs, 22841 ns,  size 65536
alloca: It took  0 s, 0 ms,  3 µs, 3782 ns,  size 65536
malloc: It took  0 s, 0 ms,  2 µs, 2604 ns,  size 131072
calloc: It took  0 s, 0 ms,  49 µs, 49530 ns,  size 131072
alloca: It took  0 s, 0 ms,  3 µs, 3044 ns,  size 131072
malloc: It took  0 s, 0 ms,  6 µs, 6497 ns,  size 262144
calloc: It took  0 s, 0 ms,  17 µs, 17151 ns,  size 262144
alloca: It took  0 s, 0 ms,  3 µs, 3739 ns,  size 262144
malloc: It took  0 s, 0 ms,  7 µs, 7814 ns,  size 524288
calloc: It took  0 s, 0 ms,  253 µs, 253306 ns,  size 524288
alloca: It took  0 s, 0 ms,  4 µs, 4085 ns,  size 524288
malloc: It took  0 s, 0 ms,  7 µs, 7261 ns,  size 1048576
calloc: It took  0 s, 0 ms,  267 µs, 267541 ns,  size 1048576
alloca: It took  0 s, 0 ms,  4 µs, 4989 ns,  size 1048576
malloc: It took  0 s, 0 ms,  7 µs, 7156 ns,  size 2097152
calloc: It took  0 s, 0 ms,  547 µs, 547159 ns,  size 2097152
alloca: It took  0 s, 0 ms,  5 µs, 5332 ns,  size 2097152
malloc: It took  0 s, 0 ms,  7 µs, 7051 ns,  size 4194304
calloc: It took  0 s, 1 ms,  1093 µs, 1093337 ns,  size 4194304
make: *** [Makefile:21: test] Segmentation fault (core dumped)
