Buffer size, bytes | kmalloc       , ns | kfree     , ns |
                 1 |              15824 |           6420 |
                 2 |                564 |            288 |
                 4 |                242 |            213 |
                 8 |                235 |            191 |
                16 |                270 |            258 |
                32 |                231 |            199 |
                64 |                231 |            196 |
               128 |                615 |            257 |
               256 |                751 |            569 |
               512 |                601 |            251 |

Buffer size, bytes | vmalloc       , ns | vfree     , ns |
                 1 |              41907 |          13412 |
                 2 |               5914 |           2487 |
                 4 |               2933 |           2030 |
                 8 |            2656375 |          19768 |
                16 |              12440 |           3048 |
                32 |               2856 |           1675 |
                64 |               2144 |           1430 |
               128 |               1857 |           1668 |
               256 |               1794 |           1336 |
               512 |               1660 |           1361 |

Buffer size, bytes | get_free_pages, ns | free_pages, ns |
              4096 |              12029 |          59528 |
              8192 |               5866 |           3687 |
             16384 |                960 |            680 |
             32768 |               1649 |            617 |
             65536 |              10293 |          17811 |
            131072 |               1827 |            887 |
            262144 |                847 |            786 |
            524288 |              12730 |           1472 |
           1048576 |               6729 |           1938 |
           2097152 |              31621 |           5070 |

Buffer size, bytes | kzalloc       , ns | kfree     , ns |
                 1 |              25354 |          13805 |
                 2 |                432 |            234 |
                 4 |                245 |            174 |
                 8 |                214 |            175 |
                16 |               5389 |            597 |
                32 |               3468 |           1812 |
                64 |                846 |            562 |
               128 |               1819 |            415 |
               256 |               1266 |            226 |
               512 |               1562 |            431 |
