Buffer size, bytes | Function name | Allocation time, ns | Deallocation time, ns |
                 1 |        malloc |               37360 |                   104 |
                 1 |        calloc |                 142 |                    77 |
                 1 |        alloca |                  37 |                     0 |
                 2 |        malloc |                  62 |                    40 |
                 2 |        calloc |                  59 |                    16 |
                 2 |        alloca |                  23 |                     0 |
                 4 |        malloc |                  26 |                    23 |
                 4 |        calloc |                  24 |                    15 |
                 4 |        alloca |                  17 |                     0 |
                 8 |        malloc |                  15 |                    17 |
                 8 |        calloc |                  22 |                    16 |
                 8 |        alloca |                  17 |                     0 |
                16 |        malloc |                  28 |                    17 |
                16 |        calloc |                  41 |                    16 |
                16 |        alloca |                  17 |                     0 |
                32 |        malloc |                  76 |                    17 |
                32 |        calloc |                  56 |                    18 |
                32 |        alloca |                  16 |                     0 |
                64 |        malloc |                  33 |                    16 |
                64 |        calloc |                  46 |                    16 |
                64 |        alloca |                  17 |                     0 |
               128 |        malloc |                  28 |                    16 |
               128 |        calloc |                 127 |                    18 |
               128 |        alloca |                  17 |                     0 |
               256 |        malloc |                  21 |                    17 |
               256 |        calloc |                  36 |                    17 |
               256 |        alloca |                  16 |                     0 |
               512 |        malloc |                  29 |                    16 |
               512 |        calloc |                  49 |                    18 |
               512 |        alloca |                  17 |                     0 |
              1024 |        malloc |                  54 |                    17 |
              1024 |        calloc |                  56 |                    17 |
              1024 |        alloca |                  17 |                     0 |
              2048 |        malloc |                1070 |                   201 |
              2048 |        calloc |                  53 |                    46 |
              2048 |        alloca |                  16 |                     0 |
              4096 |        malloc |                  52 |                    77 |
              4096 |        calloc |                  77 |                    17 |
              4096 |        alloca |                 104 |                     0 |
              8192 |        malloc |                 862 |                    20 |
              8192 |        calloc |                 702 |                    20 |
              8192 |        alloca |                1012 |                     0 |
             16384 |        malloc |                 901 |                    19 |
             16384 |        calloc |                1238 |                    20 |
             16384 |        alloca |                1490 |                     0 |
             32768 |        malloc |                 853 |                    20 |
             32768 |        calloc |                3311 |                    29 |
             32768 |        alloca |                3344 |                     0 |
             65536 |        malloc |                 923 |                    19 |
             65536 |        calloc |                7384 |                    23 |
             65536 |        alloca |                6410 |                     0 |
            131072 |        malloc |                 846 |                    19 |
            131072 |        calloc |               17247 |                    24 |
            131072 |        alloca |               13430 |                     0 |
            262144 |        malloc |                2180 |                  3959 |
            262144 |        calloc |               34001 |                    23 |
            262144 |        alloca |               37046 |                     0 |
            524288 |        malloc |                1908 |                  2204 |
            524288 |        calloc |               11971 |                    26 |
            524288 |        alloca |               64922 |                     0 |
           1048576 |        malloc |                1979 |                  2151 |
           1048576 |        calloc |              116355 |                    93 |
           1048576 |        alloca |              131491 |                     0 |
           2097152 |        malloc |                6668 |                  1599 |
           2097152 |        calloc |              265247 |                   358 |
           2097152 |        alloca |              412731 |                     0 |
           4194304 |        malloc |                 982 |                  1385 |
           4194304 |        calloc |              380459 |                    43 |
           4194304 |        alloca |              746262 |                     0 |
