[  249.941801] ***** KMALLOC *****
[  249.941927]  Buffer size  allocation time  freeing time
[  249.942118]            2    0.000058249        0.000040549
[  249.942179]            4    0.000001509        0.000000903
[  249.942211]            8    0.000000764        0.000000567
[  249.942240]           16    0.000000642        0.000000571
[  249.942268]           32    0.000000693        0.000000458
[  249.942295]           64    0.000000584        0.000000509
[  249.942323]          128    0.000001663        0.000000949
[  249.942351]          256    0.000001645        0.000000884
[  249.942379]          512    0.000001833        0.000000533
[  249.942407]         1024    0.000001469        0.000000536
[  249.942436]         2048    0.000001411        0.000001008
[  249.942465]         4096    0.000001368        0.000000587
[  249.942493]         8192    0.000001805        0.000001050
[  249.942539]        16384    0.000017130        0.000002967
[  249.942573]        32768    0.000003668        0.000001559
[  249.942609]        65536    0.000005371        0.000004874
[  249.942713]       131072    0.000004222        0.000071540
[  249.943847]       262144    0.001087177        0.000009373
[  249.943953]       524288    0.000011811        0.000005435
[  249.944005]      1048576    0.000010263        0.000007787
[  249.944064]      2097152    0.000016242        0.000011738
[  249.944143]      4194304    0.000029688        0.000021295
[  249.944206]
[  249.944206] ***** KZALLOC *****
[  249.944243]  Buffer size  allocation time  freeing time
[  249.944289]            2    0.000020014        0.000001419
[  249.944337]            4    0.000001473        0.000000587
[  249.944364]            8    0.000000730        0.000000421
[  249.944391]           16    0.000001957        0.000000914
[  249.944419]           32    0.000001448        0.000000484
[  249.944446]           64    0.000001566        0.000000894
[  249.944474]          128    0.000001466        0.000000830
[  249.944502]          256    0.000001968        0.000000825
[  249.944530]          512    0.000001987        0.000001039
[  249.944558]         1024    0.000002267        0.000000512
[  249.944605]         2048    0.000004878        0.000001700
[  249.944745]         4096    0.000111834        0.000000807
[  249.945771]         8192    0.000986350        0.000002470
[  249.945891]        16384    0.000035108        0.000006923
[  249.945963]        32768    0.000036121        0.000001744
[  249.946069]        65536    0.000069535        0.000004842
[  249.946234]       131072    0.000132692        0.000003376
[  249.946526]       262144    0.000258088        0.000003591
[  249.947147]       524288    0.000584841        0.000006708
[  249.949077]      1048576    0.001868797        0.000014184
[  249.951283]      2097152    0.002105905        0.000014956
[  249.956330]      4194304    0.004962629        0.000027943
[  249.956446]
[  249.956446] ***** VMALLOC *****
[  249.956486]  Buffer size  allocation time  freeing time
[  249.956607]            2    0.000057938        0.000040548
[  249.957315]            4    0.000659032        0.000015015
[  249.957392]            8    0.000008807        0.000005160
[  249.957433]           16    0.000006096        0.000004460
[  249.957470]           32    0.000005495        0.000003918
[  249.957504]           64    0.000004838        0.000003471
[  249.957538]          128    0.000004711        0.000003679
[  249.957571]          256    0.000004368        0.000003347
[  249.957604]          512    0.000004510        0.000003343
[  249.957636]         1024    0.000004236        0.000003393
[  249.957748]         2048    0.000005464        0.000003433
[  249.958316]         4096    0.000522706        0.000013185
[  249.958394]         8192    0.000013040        0.000006017
[  249.958442]        16384    0.000011468        0.000005683
[  249.958489]        32768    0.000011218        0.000007435
[  249.958544]        65536    0.000018415        0.000010047
[  249.958617]       131072    0.000030660        0.000016407
[  249.959296]       262144    0.000597111        0.000050685
[  249.959580]       524288    0.000117237        0.000060432
[  249.960723]      1048576    0.000894647        0.000207327
[  249.961532]      2097152    0.000447328        0.000298366
[  249.963666]      4194304    0.001435552        0.000663707
[  249.967424]      8388608    0.002406302        0.001266335
[  249.974181]     16777216    0.004230099        0.002469882
[  249.986143]     33554432    0.007460687        0.004437725
[  250.009909]     67108864    0.014841515        0.008867908
[  250.010003]
[  250.010003] ***** GET_FREE_PAGES *****
[  250.010051]  Buffer size  allocation time  freeing time
[  250.010146]         4096    0.000030408        0.000016378
[  250.010185]         8192    0.000003759        0.000001697
[  250.010211]        16384    0.000001967        0.000000885
[  250.010235]        32768    0.000001657        0.000000871
[  250.010262]        65536    0.000002849        0.000003503
[  250.010286]       131072    0.000001945        0.000001360
[  250.010312]       262144    0.000002771        0.000001524
[  250.010336]       524288    0.000002357        0.000001843
[  250.010363]      1048576    0.000003195        0.000002830
[  250.010394]      2097152    0.000005058        0.000004994
[  250.010432]      4194304    0.000008359        0.000009038

