# uname -a
Linux buildroot 5.10.7 #1 SMP Thu Nov 18 19:08:18 EET 2021 x86_64 GNU/Linux

# free
              total        used        free      shared  buff/cache   available
Mem:         114836       15688       92408          60        6740       94732
Swap:             0           0           0

# ./allocate_test 
|---------------------|---------------|--------------|
|        Size         | malloc Time   | free Time    |
|---------------------|---------------|--------------|
|                   1 | 0.001076863   | 0.000193824  |
|                   2 | 0.000063334   | 0.000003492  |
|                   4 | 0.000004940   | 0.000002254  |
|                   8 | 0.000005454   | 0.000002252  |
|                  16 | 0.000028696   | 0.000002193  |
|                  32 | 0.000122059   | 0.000002472  |
|                  64 | 0.000004422   | 0.000002184  |
|                 128 | 0.000004757   | 0.000058975  |
|                 256 | 0.000296514   | 0.000002665  |
|                 512 | 0.000004985   | 0.000002142  |
|                1024 | 0.000004445   | 0.000002103  |
|                2048 | 0.000004390   | 0.000002080  |
|                4096 | 0.000086261   | 0.000002738  |
|                8192 | 0.000033578   | 0.000002499  |
|               16384 | 0.000026501   | 0.000002142  |
|               32768 | 0.000029646   | 0.000002009  |
|               65536 | 0.000026882   | 0.000002051  |
|              131072 | 0.000024569   | 0.000029981  |
|              262144 | 0.000159982   | 0.000146322  |
|              524288 | 0.000080496   | 0.000095978  |
|             1048576 | 0.000057078   | 0.000091317  |
|             2097152 | 0.000055326   | 0.000092228  |
|             4194304 | 0.000056721   | 0.000094612  |
|             8388608 | 0.000055762   | 0.000092359  |
|            16777216 | 0.000073930   | 0.000093666  |
|            33554432 | 0.000048411   | 0.000079916  |
|            67108864 | 0.000172973   | 0.000137365  |
|           134217728 | 0.000148582   | 0.000137365  |
|           268435456 | 0.000016726   | 0.000137365  |
|           536870912 | 0.000014856   | 0.000137365  |
|          1073741824 | 0.000014917   | 0.000137365  |
|          2147483648 | 0.000014040   | 0.000137365  |
|          4294967296 | 0.000014433   | 0.000137365  |
|          8589934592 | 0.000017444   | 0.000137365  |
|         17179869184 | 0.000015083   | 0.000137365  |
|         34359738368 | 0.000014794   | 0.000137365  |
|         68719476736 | 0.000015003   | 0.000137365  |
|        137438953472 | 0.000014789   | 0.000137365  |
|        274877906944 | 0.000014499   | 0.000137365  |
|        549755813888 | 0.000014020   | 0.000137365  |
|       1099511627776 | 0.000015104   | 0.000137365  |
|       2199023255552 | 0.000014639   | 0.000137365  |
|       4398046511104 | 0.000014416   | 0.000137365  |
|       8796093022208 | 0.000012383   | 0.000137365  |
|      17592186044416 | 0.000012222   | 0.000137365  |
|      35184372088832 | 0.000012228   | 0.000137365  |
|      70368744177664 | 0.000012396   | 0.000137365  |
|     140737488355328 | 0.000027053   | 0.000137365  |
|     281474976710656 | 0.000006939   | 0.000137365  |
|     562949953421312 | 0.000034974   | 0.000137365  |
|    1125899906842624 | 0.000007849   | 0.000137365  |
|    2251799813685248 | 0.000007141   | 0.000137365  |
|    4503599627370496 | 0.000006889   | 0.000137365  |
|    9007199254740992 | 0.000006651   | 0.000137365  |
