Check memory allocation with malloc:
========================================================
|    N|          Bytes| Alloc time(us)|  Free time(us)|
========================================================
|    0|              1|              3|              1|
|    1|              2|              2|              1|
|    2|              4|              1|              2|
|    3|              8|              1|              1|
|    4|             16|              1|              1|
|    5|             32|              2|              1|
|    6|             64|              2|              1|
|    7|            128|              1|              1|
|    8|            256|              2|              1|
|    9|            512|              1|              1|
|   10|           1024|              1|              2|
|   11|           2048|              7|              1|
|   12|           4096|              1|              1|
|   13|           8192|              5|              1|
|   14|          16384|              4|              1|
|   15|          32768|              4|              1|
|   16|          65536|              4|              2|
|   17|         131072|              4|              4|
|   18|         262144|             12|             14|
|   19|         524288|             12|             10|
|   20|        1048576|              9|             12|
|   21|        2097152|              8|              8|
|   22|        4194304|             12|             11|
|   23|        8388608|              8|              9|
|   24|       16777216|             11|             12|
|   25|       33554432|             11|             11|
|   26|       67108864|              9|              9|
|   27|      134217728|             12|             12|
|   28|      268435456|              9|             11|
|   29|      536870912|              9|             15|
|   30|     1073741824|             14|             21|

Check memory allocation with calloc:
========================================================
|    N|          Bytes| Alloc time(us)|  Free time(us)|
========================================================
|    0|              1|              2|              1|
|    1|              2|              1|              1|
|    2|              4|              2|              1|
|    3|              8|              1|              2|
|    4|             16|              2|              1|
|    5|             32|              4|              1|
|    6|             64|              1|              1|
|    7|            128|              2|              1|
|    8|            256|              2|              1|
|    9|            512|              2|              1|
|   10|           1024|              1|              1|
|   11|           2048|              2|              1|
|   12|           4096|              1|              1|
|   13|           8192|              5|              1|
|   14|          16384|              4|              1|
|   15|          32768|             12|              2|
|   16|          65536|             23|              1|
|   17|         131072|             59|              1|
|   18|         262144|            112|              1|
|   19|         524288|             29|              1|
|   20|        1048576|            246|              1|
|   21|        2097152|            412|              1|
|   22|        4194304|            916|              2|
|   23|        8388608|           1996|             51|
|   24|       16777216|           4465|              3|
|   25|       33554432|             21|             19|
|   26|       67108864|             16|             10|
|   27|      134217728|              9|             13|
|   28|      268435456|             11|             15|
|   29|      536870912|             10|             14|
|   30|     1073741824|             13|             19|

Check memory allocation with alloca:
========================================================
|    N|          Bytes| Alloc time(us)|  Free time(us)|
========================================================
|    0|              1|              1|              0|
|    1|              2|              1|              0|
|    2|              4|              1|              0|
|    3|              8|              1|              0|
|    4|             16|              1|              0|
|    5|             32|              2|              0|
|    6|             64|              1|              0|
|    7|            128|             16|              0|
|    8|            256|              2|              0|
|    9|            512|              1|              0|
|   10|           1024|              1|              0|
|   11|           2048|              1|              0|
|   12|           4096|              6|              0|
|   13|           8192|              6|              0|
|   14|          16384|             12|              0|
|   15|          32768|             31|              0|
|   16|          65536|             46|              0|
|   17|         131072|             94|              0|
|   18|         262144|            176|              0|
|   19|         524288|            349|              0|
|   20|        1048576|            640|              0|
|   21|        2097152|           2162|              0|

