table with allocation/deallocation time:
bytes       | malloc() | calloc() | alloca() | malloc_free() | calloc_free() | alloca_free()
--------------------------------------------------------------------------------------------
           1|    2100  |     800  |      500 |      600      |      600      |      600
           2|     700  |     600  |      500 |      500      |      500      |      600
           4|     700  |     800  |      500 |      600      |      500      |      500
           8|     600  |     600  |      500 |      600      |      600      |      600
          16|     700  |     700  |      500 |      500      |      600      |      500
          32|     900  |     700  |     2300 |      600      |      500      |      800
          64|     900  |     600  |      400 |      600      |      400      |      500
         128|     600  |     700  |      400 |      400      |      400      |      400
         256|     600  |     800  |      500 |      400      |      400      |      400
         512|     700  |     700  |      500 |      400      |      500      |      400
        1024|     700  |    3200  |      400 |      500      |      400      |      400
        2048|     600  |     800  |      500 |      600      |      500      |      400
        4096|    2100  |     800  |     5100 |      500      |      400      |      400
        8192|    2300  |     800  |     1800 |      400      |      400      |      500
       16384|    2200  |    2700  |     1800 |      400      |      500      |      400
       32768|    1900  |    7200  |     1700 |      400      |      400      |      400
       65536|    2100  |   13300  |     1800 |      400      |      400      |      500
      131072|    4700  |   30100  |     2400 |     6500      |      500      |      400
      262144|    2200  |   66400  |     1800 |      500      |      500      |      400
      524288|    3200  |   10800  |     2200 |     4400      |      500      |      400
     1048576|    2900  |  304500  |     4600 |     3500      |      900      |      600
     2097152|    7800  |  472700  |    34200 |     9400      |     1200      |     1000
     4194304|   10200  | 1322000  |     6800 |    12400      |     6000      |      500
     8388608|    9000  | 1165800  |        0 |    10400      |     1300      |        0
    16777216|   16300  | 3298001  |        0 |    12800      |     1600      |        0
    33554432|   12300  |    9200  |        0 |    10200      |     6600      |        0
    67108864|    3600  |    3400  |        0 |     3900      |     3900      |        0
   134217728|    3600  |    3500  |        0 |     4200      |     3600      |        0
   268435456|    3600  |    3500  |        0 |     4600      |     4200      |        0
   536870912|    3700  |    3700  |        0 |     5200      |     4800      |        0
  1073741824|    4400  |    4000  |        0 |     6800      |     6800      |        0
  2147483648|    1800  |    1500  |        0 |     6800      |     6800      |        0
* time is in nano seconds
